# Mini-Circuits,Lab.
# Model:ZVA-183+
# Mini-Circuits,Lab.,Run:,EXPRM,,Date,Code:,1030;
# Fixture:,N/R;,Vcc=+12V,,Icc=330mA;
# Connection:,Port,1,to,Input,,Port,2,to,Output;
# Mini-Circuits,Lab.,Tested,with,PNA-X,Network,Analyzer,AG,N5242A,,S/N,71404,,Cal.Due.:,05/26/2011.
DG(dB)=0
freq(Hz)	gain(dB)	phase(rad)	directivity(dB)	vsvr(:1)	nf(dB)	op1db(dBm)	freq_1(Hz)	oip3(dBm)	freq_2(Hz)
10000000.0	-47.65359	-1.9279639955815202	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
11000000.0	-48.95219	-1.4376058882520795	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
12000000.0	-48.62656	-1.6318975113804148	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
13000000.0	-46.78698	-1.6221735839858538	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
14000000.0	-44.19961	-1.7195254316682194	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
15000000.0	-42.25447	-1.8456891746425077	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
16000000.0	-41.179	-1.8347267616107312	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
17000000.0	-39.2876	-1.9204102105788887	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
18000000.0	-38.20967	-1.970188746175019	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
19000000.0	-37.18873	-2.0378254906775553	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
20000000.0	-35.89287	-1.9279639955815202	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
21000000.0	-34.68952	-2.091555451700201	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
22000000.0	-33.70648	-2.115780621717882	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
23000000.0	-32.79374	-2.1328778670704183	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
24000000.0	-31.87751	-2.172749913832229	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
25000000.0	-30.90489	-2.2008165535335498	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
26000000.0	-30.12193	-2.20443985706069	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
27000000.0	-29.29152	-2.229590051581928	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
28000000.0	-28.63541	-2.2481970067374397	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
29000000.0	-27.79938	-2.2593252260481558	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
30000000.0	-27.07543	-2.284004181671355	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
31000000.0	-26.40419	-2.294710031303089	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
32000000.0	-25.74056	-2.307435226879379	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
33000000.0	-25.05908	-2.3181829644131606	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
34000000.0	-24.42206	-2.337800465205577	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
35000000.0	-23.78913	-2.3446299385686307	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
36000000.0	-23.1534	-2.352723030310128	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
37000000.0	-22.6236	-2.371809951009938	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
38000000.0	-22.05437	-2.379868136166396	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
39000000.0	-21.45855	-2.3948256078559873	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
40000000.0	-20.88806	-2.399831212150707	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
41000000.0	-20.33933	-2.4116261472356846	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
42000000.0	-19.81117	-2.4224349712932858	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
43000000.0	-19.32519	-2.4319190904486225	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
44000000.0	-18.81864	-2.439275653245779	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
45000000.0	-18.32814	-2.4484560851112693	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
46000000.0	-17.8388	-2.4583538472993287	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
47000000.0	-17.3748	-2.4673422929471	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
48000000.0	-16.90934	-2.474295684687045	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
49000000.0	-16.44967	-2.485797404457688	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
50000000.0	-15.97637	-2.50845701413633	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
51000000.0	-15.57221	-2.500873558536415	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
52000000.0	-15.16406	-2.5095356276140626	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
53000000.0	-14.71637	-2.5165553418655837	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
54000000.0	-14.34671	-2.526008045094385	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
55000000.0	-13.89721	-2.533132479101026	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
56000000.0	-13.50222	-2.5417666229106417	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
57000000.0	-13.13505	-2.5499138198589515	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
58000000.0	-12.73195	-2.5575339273731585	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
59000000.0	-12.36508	-2.5653687103853615	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
60000000.0	-12.00612	-2.5730481590941365	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
61000000.0	-11.62395	-2.5799404643102624	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
62000000.0	-11.26356	-2.587288300461158	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
63000000.0	-10.89922	-2.5964373164001127	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
64000000.0	-10.55489	-2.6029212145712712	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
65000000.0	-10.20269	-2.6097489426050733	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
66000000.0	-9.855694	-2.6179450087724385	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
67000000.0	-9.511342	-2.625483085811802	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
68000000.0	-9.200331	-2.632935641717818	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
69000000.0	-8.85742	-2.640765188742264	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
70000000.0	-8.540872	-2.647654003299886	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
71000000.0	-8.203742	-2.655706952468588	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
72000000.0	-7.894175	-2.663339277287559	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
73000000.0	-7.584535	-2.670947167497002	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
74000000.0	-7.280575	-2.6781780665880146	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
75000000.0	-6.970341	-2.6859186018206094	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
76000000.0	-6.676035	-2.693074451753786	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
77000000.0	-6.381423	-2.700015626188968	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
78000000.0	-6.07695	-2.7084158958788165	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
79000000.0	-5.790615	-2.7154687713861256	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
80000000.0	-5.497152	-2.722535609527451	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
81000000.0	-5.216788	-2.7300859038715783	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
82000000.0	-4.936777	-2.738102201125988	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
83000000.0	-4.666323	-2.745540794397988	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
84000000.0	-4.388366	-2.753195808497235	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
85000000.0	-4.120852	-2.760974740973374	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
86000000.0	-3.854258	-2.7689927835570356	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
87000000.0	-3.590636	-2.7764348674875396	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
88000000.0	-3.330846	-2.783747797053396	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
89000000.0	-3.06693	-2.7915965426996143	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
90000000.0	-2.815715	-2.7995220828329206	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
91000000.0	-2.56508	-2.806405661402786	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
92000000.0	-2.308467	-2.8145842742776317	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
93000000.0	-2.066358	-2.82184658929518	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
94000000.0	-1.818686	-2.8296412297345865	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
95000000.0	-1.581095	-2.8377587560856123	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
96000000.0	-1.338951	-2.845289851807968	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
97000000.0	-1.099719	-2.8526778305316602	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
98000000.0	-0.864997	-2.861017013697689	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
99000000.0	-0.6320618	-2.8684974948717366	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
100000000.0	-0.3991466	-2.875960522753264	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
110000000.0	1.796527	-2.9558948571653523	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
